4,998,dump
#
# used SQL: SELECT ROOMS,LIVINGSPACE,PRICE,YEAR FROM LANGNER.REALESTATES_HAMBURG WHERE (ROOMS IS NOT NULL) AND (LIVINGSPACE IS NOT NULL) AND (PRICE IS NOT NULL) AND (YEAR IS NOT NULL)
#
0.06944445,0.71026814,0.0,0.9452464
0.0,0.42184433,0.09763718,0.9298158
0.125,0.65206015,0.23432922,0.9452464
0.055555556,0.27141923,0.2831478,0.9790941
0.055555556,0.27141923,0.2831478,0.9790941
0.104166664,0.117724,0.29291153,0.90841216
0.041666668,0.2027469,0.37102127,0.9885515
0.097222224,0.28122956,0.37102127,0.93330014
0.097222224,0.45454547,0.37297404,0.9452464
0.097222224,0.29103988,0.4706112,0.9442509
0.0625,0.24591236,0.5077133,0.9696366
0.055555556,0.25833878,0.54872096,0.9303136
0.07638889,0.31720078,0.5662956,0.9815829
0.083333336,0.32374102,0.57605934,0.94922847
0.083333336,0.32374102,0.57605934,0.94922847
0.083333336,0.32374102,0.57605934,0.94922847
0.048611112,0.23021583,0.5877758,0.99701345
0.055555556,0.21909745,0.5955868,0.9576904
0.097222224,0.3119686,0.6053505,0.9711299
0.07638889,0.32374102,0.6053505,0.952215
0.07638889,0.25506866,0.6248779,0.952215
0.07638889,0.33028123,0.6248779,0.9850672
0.0625,0.21386527,0.63464165,0.93977106
0.07638889,0.18312623,0.64440536,0.9591837
0.083333336,0.27795944,0.64440536,0.97959185
0.083333336,0.27272728,0.64440536,0.9766053
0.048611112,0.17985612,0.6639328,0.989547
0.055555556,0.18835841,0.66783834,0.9965157
0.090277776,0.25114453,0.66783834,0.9462419
0.0625,0.22563767,0.6736965,0.9990045
0.0625,0.21255723,0.6736965,0.96217024
0.06944445,0.16873774,0.6736965,0.9452464
0.06944445,0.3198169,0.6736965,0.9965157
0.06944445,0.3198169,0.6736965,0.9731209
0.0625,0.19293655,0.6736965,0.96217024
0.06944445,0.22563767,0.6738918,0.9452464
0.0625,0.19293655,0.6883421,0.9581882
0.0625,0.22825377,0.7029877,0.9512195
0.048611112,0.29103988,0.7029877,0.9790941
0.055555556,0.21255723,0.7039641,0.99601793
0.083333336,0.206017,0.7068932,0.95520157
0.055555556,0.19947678,0.708846,0.9990045
0.06944445,0.25833878,0.7127514,0.9477352
0.06944445,0.34009156,0.7127514,0.9930314
0.06944445,0.34336168,0.7127514,0.9512195
0.083333336,0.29758012,0.7225151,0.9731209
