8,1697,dump
#
# used SQL: SELECT NAME,CPU,CPU_FREQ,RAM_INSTALLED,HARDDRIVE,DISPLAY_TYPE,WEIGHT,MANUFACTURER FROM NOTEBOOKS_DOOYOO.PRODUCTS_JUL09
#
0.0,0.5,0.5460751,0.25,0.24,0.76616913,0.64102566,0.0
0.0,0.5,0.5460751,0.25,0.24,0.76616913,0.6282051,0.0
0.0,0.5,0.61433446,0.5,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.64846414,0.5,0.32,0.76616913,0.64102566,0.0
0.0,0.5,0.64846414,0.75,0.32,0.84577113,0.525641,0.0
0.0,0.5,0.64846414,0.75,0.5,0.84577113,0.525641,0.0
0.0,0.5,0.6825939,0.75,0.5,0.84577113,0.525641,0.0
0.0,0.5,0.5460751,0.5,0.24,0.84577113,0.525641,0.0
0.0,0.5,0.5460751,0.125,0.24,0.84577113,0.525641,0.0
0.0,0.5,0.5460751,0.25,0.24,0.84577113,0.525641,0.0
0.0,0.5,0.6825939,0.5,0.32,0.60199004,0.7948718,0.0
0.0,0.5,0.7849829,1.0,0.5,0.60199004,0.74358976,0.0
0.0,0.5,0.7849829,1.0,0.5,0.60199004,0.74358976,0.0
0.0,0.5,0.0,0.5,0.24,0.76616913,0.61538464,0.0
0.0,0.5,0.6825939,0.5,0.32,0.76616913,0.61538464,0.0
0.0,0.5,0.6825939,0.5,0.32,0.76616913,0.61538464,0.0
0.0,0.5,0.5460751,0.5,0.24,0.76616913,0.64102566,0.0
0.0,0.5,0.5460751,0.25,0.24,0.76616913,0.64102566,0.0
0.0,0.5,0.61433446,0.25,0.24,0.76616913,0.64102566,0.0
0.0,0.8,0.75085324,0.75,0.5,0.60199004,0.7307693,0.0
0.0,0.5,0.64846414,0.5,0.32,0.76616913,0.6282051,0.0
0.0,0.5,0.75085324,0.5,0.5,0.76616913,0.6282051,0.0
0.0,0.5,0.61433446,0.25,0.24,0.76616913,0.6282051,0.0
0.0,0.5,0.64846414,0.25,0.24,0.76616913,0.6282051,0.0
0.0,0.5,0.64846414,0.25,0.24,0.76616913,0.6282051,0.0
0.0,0.5,0.64846414,0.25,0.32,0.76616913,0.6282051,0.0
0.0,0.5,0.64846414,0.5,0.32,0.76616913,0.6282051,0.0
0.0,0.8,0.5460751,0.5,0.16,0.66169155,0.82564104,0.0
0.0,0.5,0.6825939,0.25,0.24,0.76616913,0.6282051,0.0
0.0,0.5,0.6825939,0.25,0.32,0.76616913,0.6282051,0.0
0.0,0.5,0.6825939,0.5,0.32,0.76616913,0.6282051,0.0
0.0,0.5,0.5460751,0.25,0.24,0.84577113,0.525641,0.0
0.0,0.5,0.61433446,0.25,0.24,0.84577113,0.525641,0.0
0.0,0.5,0.64846414,0.25,0.32,0.84577113,0.51282054,0.0
0.0,0.5,0.64846414,0.5,0.32,0.84577113,0.51282054,0.0
0.0,0.5,0.6825939,0.5,0.4,0.84577113,0.51282054,0.0
0.0,0.5,0.6825939,0.5,0.5,0.84577113,0.51282054,0.0
0.0,0.5,0.7849829,0.75,0.5,0.84577113,0.51282054,0.0
0.0,0.5,0.0,0.5,0.4,0.84577113,0.51282054,0.0
0.0,0.5,0.6825939,0.25,0.32,0.84577113,0.525641,0.0
0.0,0.5,0.6825939,0.5,0.5,0.84577113,0.525641,0.0
0.0,0.5,0.6825939,0.5,0.64,0.84577113,0.51282054,0.0
0.0,0.5,0.5460751,0.25,0.16,0.76616913,0.6282051,0.0
0.0,0.5,0.5460751,0.25,0.2,0.76616913,0.6282051,0.0
0.0,0.5,0.0,0.25,0.2,0.76616913,0.6282051,0.0
0.0,0.5,0.5460751,0.25,0.24,0.76616913,0.6282051,0.0
